CID,Category,SubCategory,HeelHeight,Insole,Closure,Gender,Material,ToeStyle,ClassicCasual
7655085-13153,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Polyurethane,Lace up,Men,Faux Leather;Mesh;Nubuck;Faux Fur,,1
7655085-123360,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Polyurethane,Lace up,Men,Faux Leather;Mesh;Nubuck;Faux Fur,,1
7655088-10625,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Polyurethane,Lace up,Men,Faux Leather;Mesh;Nubuck;Faux Fur,,1
7655099-3597,Shoes,Sneakers and Athletic Shoes,,Padded;Polyurethane,Lace up,Men,Canvas;Faux Leather;Mesh;Suede;Synthetic,,1
7655099-4466,Shoes,Sneakers and Athletic Shoes,,Padded;Polyurethane,Lace up,Men,Canvas;Faux Leather;Mesh;Suede;Synthetic,,1
7655099-21468,Shoes,Sneakers and Athletic Shoes,,Padded;Polyurethane,Lace up,Men,Canvas;Faux Leather;Mesh;Suede;Synthetic,,1
7655099-28330,Shoes,Sneakers and Athletic Shoes,,Padded;Polyurethane,Lace up,Men,Canvas;Faux Leather;Mesh;Suede;Synthetic,,1
7655099-32334,Shoes,Sneakers and Athletic Shoes,,Padded;Polyurethane,Lace up,Men,Canvas;Faux Leather;Mesh;Suede;Synthetic,,1
7655099-43639,Shoes,Sneakers and Athletic Shoes,,Padded;Polyurethane,Lace up,Men,Canvas;Faux Leather;Mesh;Suede;Synthetic,,1
7655099-53241,Shoes,Sneakers and Athletic Shoes,,Padded;Polyurethane,Lace up,Men,Canvas;Faux Leather;Mesh;Suede;Synthetic,,1
7655099-55054,Shoes,Sneakers and Athletic Shoes,,Padded;Polyurethane,Lace up,Men,Canvas;Faux Leather;Mesh;Suede;Synthetic,,1
7655099-78948,Shoes,Sneakers and Athletic Shoes,,Padded;Polyurethane,Lace up,Men,Canvas;Faux Leather;Mesh;Suede;Synthetic,,1
7655099-353544,Shoes,Sneakers and Athletic Shoes,,Padded;Polyurethane,Lace up,Men,Canvas;Faux Leather;Mesh;Suede;Synthetic,,1
7655099-373274,Shoes,Sneakers and Athletic Shoes,,Padded;Polyurethane,Lace up,Men,Canvas;Faux Leather;Mesh;Suede;Synthetic,,1
7655316-369429,Shoes,Sneakers and Athletic Shoes,Flat,Moisture Wicking;Padded,Lace up,Men,Canvas;Leather;Nubuck;Rubber;Suede,,1
7655316-369430,Shoes,Sneakers and Athletic Shoes,Flat,Moisture Wicking;Padded,Lace up,Men,Canvas;Leather;Nubuck;Rubber;Suede,,1
7655334-408,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded,Lace up,Men,Leather;Suede;Synthetic,,1
7655334-17864,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded,Lace up,Men,Leather;Suede;Synthetic,,1
7655334-369422,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded,Lace up,Men,Leather;Suede;Synthetic,,1
7655662-256418,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Canvas;Hemp;Rubber,,0
7655748-357542,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Nylon;Rubber;Suede,,0
7655836-104,Shoes,Clogs and Mules,,Orthotic Friendly;Removable,Slip-On,Men,Leather,Round Toe;Closed Toe,1
7655841-239607,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Padded;Removable,Lace up,Men,Mesh;Rubber;Synthetic,,0
7655841-287407,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Padded;Removable,Lace up,Men,Mesh;Rubber;Synthetic,,0
7655841-287458,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Padded;Removable,Lace up,Men,Mesh;Rubber;Synthetic,,0
7655841-351071,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Padded;Removable,Lace up,Men,Mesh;Rubber;Synthetic,,0
7655842-104,Shoes,Loafers,,Leather;Moisture Wicking;Orthotic Friendly;Removable,Slip-On,Men,Leather,Round Toe;Closed Toe,1
7655856-10005,Shoes,Loafers,,Moisture Wicking;Orthotic Friendly;Removable,Slip-On,Men,Leather,Moc Toe,1
7655856-241876,Shoes,Loafers,,Moisture Wicking;Orthotic Friendly;Removable,Slip-On,Men,Leather,Moc Toe,1
7655859-111,Boots,Ankle,,Moisture Wicking;Orthotic Friendly;Removable,Pull-on,Men,Leather,Bump Toe;Round Toe;Closed Toe,1
7658377-243085,Boots,Ankle,,Leather;Padded,Pull-on,Men,Leather;Suede,Almond;Pointed Toe;Closed Toe,1
7658413-151,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men,Full-grain leather,Round Toe,0
7658414-151,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Full-grain leather,,0
7658507-4082,Boots,Mid-Calf,1in - 1 3/4in,Leather;Padded,Pull-on,Men,Full-grain leather;Leather;Rubber,Snub Toe;Closed Toe,1
7658538-72,Boots,Ankle,,Leather;Padded,Lace up,Men,Leather,,1
7658538-216,Boots,Ankle,,Leather;Padded,Lace up,Men,Leather,,1
7658538-665,Boots,Ankle,,Leather;Padded,Lace up,Men,Leather,,1
7658550-3008,Boots,Ankle,,Leather,Zipper,Men,Leather,Round Toe,1
7658550-3009,Boots,Ankle,,Leather,Zipper,Men,Leather,Round Toe,1
7658560-1567,Slippers,Slipper Flats,,Padded,Slip-On,Men,Suede,Moc Toe;Round Toe,0
7658564-3008,Shoes,Oxfords,,Leather;Padded,Lace up,Men,Leather;Rubber,Capped Toe;Round Toe;Closed Toe,1
7658564-6520,Shoes,Oxfords,,Leather;Padded,Lace up,Men,Leather;Rubber,Capped Toe;Round Toe;Closed Toe,1
7658565-3008,Shoes,Oxfords,,Leather;Padded,Lace up,Men,Leather;Rubber,Capped Toe;Round Toe;Closed Toe,1
7658565-6520,Shoes,Oxfords,,Leather;Padded,Lace up,Men,Leather;Rubber,Capped Toe;Round Toe;Closed Toe,1
7658629-222992,Boots,Ankle,,Moisture Wicking;Removable,Lace up,Men,Leather;Rubber,,1
7658639-10005,Shoes,Loafers,,EVA;Padded,Slip-On,Men,Full-grain leather;Leather,Moc Toe,1
7658639-30365,Shoes,Loafers,,EVA;Padded,Slip-On,Men,Full-grain leather;Leather,Moc Toe,1
7658684-10005,Shoes,Oxfords,,EVA;Padded,Lace up,Men,Full-grain leather,Wingtip,0
7658735-39826,Boots,Ankle,,Padded,Zipper,Men,Mesh;Suede,Round Toe,0
7658748-328,Shoes,Oxfords,,EVA;Padded,Lace up,Men,Full-grain leather;Leather,Moc Toe;Round Toe;Closed Toe,1
7658855-3,Boots,Ankle,,Moisture Wicking;Padded,Lace up,Men,Full-grain leather,Round Toe,0
7658855-12898,Boots,Ankle,,Moisture Wicking;Padded,Lace up,Men,Full-grain leather,Round Toe,0
7659161-1122,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men,Canvas;Rubber;Suede,,0
7659161-33900,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men,Canvas;Rubber;Suede,,0
7659161-330748,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men,Canvas;Rubber;Suede,,0
7659266-18,Shoes,Loafers,,EVA;Moisture Wicking,Slip-On,Men,Full-grain leather,Round Toe,0
7659266-243385,Shoes,Loafers,,EVA;Moisture Wicking,Slip-On,Men,Full-grain leather,Round Toe,0
7659267-243386,Boots,Mid-Calf,,Padded,Pull-on,Men,Leather,Bump Toe;Closed Toe,1
7659296-325,Boots,Ankle,,Leather;Padded,Zipper,Men,Leather,Round Toe;Closed Toe,1
7659296-621,Boots,Ankle,,Leather;Padded,Zipper,Men,Leather,Round Toe;Closed Toe,1
7659296-3008,Boots,Ankle,,Leather;Padded,Zipper,Men,Leather,Round Toe;Closed Toe,1
7659296-3009,Boots,Ankle,,Leather;Padded,Zipper,Men,Leather,Round Toe;Closed Toe,1
7659296-51808,Boots,Ankle,,Leather;Padded,Zipper,Men,Leather,Round Toe;Closed Toe,1
7659296-119948,Boots,Ankle,,Leather;Padded,Zipper,Men,Leather,Round Toe;Closed Toe,1
7659296-301558,Boots,Ankle,,Leather;Padded,Zipper,Men,Leather,Round Toe;Closed Toe,1
7659296-301559,Boots,Ankle,,Leather;Padded,Zipper,Men,Leather,Round Toe;Closed Toe,1
7659296-301571,Boots,Ankle,,Leather;Padded,Zipper,Men,Leather,Round Toe;Closed Toe,1
7659315-3008,Shoes,Loafers,,Leather;Padded,Slip-On,Men,Leather;Rubber,Round Toe;Closed Toe,1
7659315-119948,Shoes,Loafers,,Leather;Padded,Slip-On,Men,Leather;Rubber,Round Toe;Closed Toe,1
7659316-3008,Shoes,Oxfords,,Leather;Padded,Lace up,Men,Leather,Round Toe;Closed Toe,1
7659316-3009,Shoes,Oxfords,,Leather;Padded,Lace up,Men,Leather,Round Toe;Closed Toe,1
7659316-119948,Shoes,Oxfords,,Leather;Padded,Lace up,Men,Leather,Round Toe;Closed Toe,1
7659326-243386,Boots,Ankle,,,Lace up,Men,Full-grain leather,Round Toe,0
7659523-72,Shoes,Loafers,,Moisture Wicking;Padded,Elastic Gore;Slip-On,Men,Full-grain leather;Leather,Round Toe,1
7659523-236233,Shoes,Loafers,,Moisture Wicking;Padded,Elastic Gore;Slip-On,Men,Full-grain leather;Leather,Round Toe,1
7659523-243416,Shoes,Loafers,,Moisture Wicking;Padded,Elastic Gore;Slip-On,Men,Full-grain leather;Leather,Round Toe,1
7659525-4275,Shoes,Clogs and Mules,,EVA;Moisture Wicking;Removable,Slip-On,Men,Full-grain leather,Moc Toe,0
7659532-154137,Shoes,Clogs and Mules,,,Slip-On,Men,Full-grain leather,Round Toe;Closed Toe,0
7659532-243492,Shoes,Clogs and Mules,,,Slip-On,Men,Full-grain leather,Round Toe;Closed Toe,0
7659760-72,Boots,Ankle,,Padded,Lace up,Men,Nubuck;Suede,Round Toe,0
7659760-243568,Boots,Ankle,,Padded,Lace up,Men,Nubuck;Suede,Round Toe,0
7659761-21665,Boots,Ankle,,Moisture Wicking;Padded,Lace up,Men,Full-grain leather,Round Toe,0
7660700-3,Shoes,Sneakers and Athletic Shoes,,,Bungee;Slip-On,Men,Mesh,,0
7661738-2294,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men,Canvas;Suede;Synthetic,,0
7661738-297490,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men,Canvas;Suede;Synthetic,,0
7661799-244286,Shoes,Loafers,Under 1in,Padded,Slip-On,Men,Leather;Suede,Moc Toe,1
7661799-244287,Shoes,Loafers,Under 1in,Padded,Slip-On,Men,Leather;Suede,Moc Toe,1
7661799-393071,Shoes,Loafers,Under 1in,Padded,Slip-On,Men,Leather,Moc Toe;Closed Toe,1
7661804-56,Shoes,Loafers,,,Slip-On,Men,Leather,Bicycle Toe,1
7661808-56,Shoes,Oxfords,,,Lace up,Men,Leather,Bicycle Toe;Square Toe,1
7662236-835,Shoes,Loafers,,,Slip-On,Men,Leather,Moc Toe;Round Toe;Closed Toe,1
7662236-245916,Shoes,Loafers,,,Slip-On,Men,Suede,Moc Toe;Closed Toe,0
7662236-361785,Shoes,Loafers,,,Slip-On,Men,Leather,Moc Toe;Round Toe;Closed Toe,1
7662236-361786,Shoes,Loafers,,,Slip-On,Men,Leather,Moc Toe;Round Toe;Closed Toe,1
7662236-395255,Shoes,Loafers,,,Slip-On,Men,Suede,Moc Toe;Closed Toe,0
7662392-3,Shoes,Loafers,,Leather,Elastic Gore;Slip-On,Men,Leather,Square Toe,1
7662392-12698,Shoes,Loafers,,Leather,Elastic Gore;Slip-On,Men,Leather,Square Toe,1
7662488-947,Boots,Ankle,1in - 1 3/4in,,Lace up,Men,Leather,Round Toe,1
7662488-31238,Boots,Ankle,1in - 1 3/4in,,Lace up,Men,Leather,Round Toe,1
7662625-5236,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Canvas;Faux Leather;Suede,,1
7663682-53241,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men,Leather,,1
7663682-392614,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men,Leather,,1
7663986-60,Shoes,Oxfords,,Leather,,Men,Leather,,1
7664148-6,Sandals,Flat,,Leather,Slip-On,Men,Leather,,1
7664149-72,Sandals,Flat,,Leather;Padded,Slip-On,Men,Leather,,1
7664149-216,Sandals,Flat,,Leather;Padded,Slip-On,Men,Leather,,1
7664149-328,Sandals,Flat,,Leather;Padded,Slip-On,Men,Leather,,1
7664173-216,Shoes,Loafers,,Moisture Wicking;Padded,Slip-On,Men,Leather,Moc Toe,1
7664188-245064,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Suede,Moc Toe,0
7664189-245064,Shoes,Sneakers and Athletic Shoes,,Padded,Elastic Gore;Slip-On,Men,Suede,Moc Toe,0
7664191-585,Shoes,Loafers,,Padded,Elastic Gore;Slip-On,Men,Canvas,Moc Toe,0
7664230-423,Sandals,Flat,,Orthotic Friendly;Padded,Slip-On,Men,Canvas,Open Toe,0
7664230-10285,Sandals,Flat,,Orthotic Friendly;Padded,Slip-On,Men,Canvas,Open Toe,0
7664230-14203,Sandals,Flat,,Orthotic Friendly;Padded,Slip-On,Men,Canvas,Open Toe,0
7664532-7778,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Canvas;Leather,Round Toe;Closed Toe,1
7664807-20,Boots,Ankle,,Removable,Lace up,Men,Leather;Ripstop,Round Toe,1
7666020-72,Shoes,Oxfords,,,Lace up,Men,Leather,Bicycle Toe;Square Toe,1
7666046-72,Shoes,Loafers,,Orthotic Friendly;Padded,Slip-On,Men,Full-grain leather;Neoprene,Moc Toe,0
7666046-216,Shoes,Loafers,,Orthotic Friendly;Padded,Slip-On,Men,Full-grain leather;Neoprene,Moc Toe,0
7666719-20,Shoes,Loafers,,Memory Foam,Elastic Gore;Slip-On,Men,Full-grain leather,Moc Toe,0
7666720-3,Shoes,Loafers,,Memory Foam,Slip-On,Men,Full-grain leather,,0
7666720-325,Shoes,Loafers,,Memory Foam,Slip-On,Men,Full-grain leather,,0
7666723-36017,Boots,Ankle,1in - 1 3/4in,Padded;Removable,Lace up,Men,Leather,Round Toe,1
7666765-1001,Shoes,Sneakers and Athletic Shoes,,Padded;Textile,Hook and Loop,Men,Full-grain leather,,0
7667040-3,Shoes,Sneakers and Athletic Shoes,,,Elastic Gore;Slip-On,Men,Leather;Rubber,,1
7667040-291543,Shoes,Sneakers and Athletic Shoes,,,Elastic Gore;Slip-On,Men,Leather;Rubber,,1
7667574-529,Boots,Ankle,,Leather,Lace up,Men,Leather;Suede,,1
7668100-3,Boots,Mid-Calf,,EVA;Moisture Wicking,Pull-on,Men,Neoprene;Rubber,,0
7668387-72,Shoes,Oxfords,,Leather;Moisture Wicking;Removable,Lace up,Men,Leather,Round Toe;Closed Toe,1
7668571-381,Boots,Mid-Calf,1in - 1 3/4in,Moisture Wicking;Padded,Lace up,Men,Leather;Shearling,Round Toe;Closed Toe,1
7668571-184651,Boots,Mid-Calf,1in - 1 3/4in,Moisture Wicking;Padded,Lace up,Men,Leather;Rubber,Round Toe;Closed Toe,1
7668628-3,Boots,Ankle,,,Zipper,Men,Leather;Rubber;Suede,Capped Toe;Round Toe,1
7668628-11044,Boots,Ankle,,,Zipper,Men,Leather;Rubber;Suede,Capped Toe;Round Toe,1
7668629-20,Boots,Ankle,,Moisture Wicking,Lace up,Men,Leather;Nubuck;Rubber,Capped Toe;Round Toe,1
7668629-381,Boots,Ankle,,Moisture Wicking,Lace up,Men,Leather;Nubuck;Rubber,Capped Toe;Round Toe,1
7668630-3,Boots,Mid-Calf,,Moisture Wicking;Removable,Bungee;Pull-on,Men,Lace;Nylon;Rubber,Capped Toe;Round Toe,0
7668630-14,Boots,Mid-Calf,,Moisture Wicking;Removable,Bungee;Pull-on,Men,Lace;Nylon;Rubber,Capped Toe;Round Toe,0
7668631-3,Boots,Ankle,,,Lace up,Men,Leather;Nylon;Rubber,Capped Toe;Round Toe,1
7668631-20,Boots,Ankle,,,Lace up,Men,Leather;Nylon;Rubber,Capped Toe;Round Toe,1
7668631-11044,Boots,Ankle,,,Lace up,Men,Leather;Nylon;Rubber,Capped Toe;Round Toe,1
7668675-3561,Boots,Ankle,,Leather;Textile,Elastic Gore,Men,Cotton;Leather;Rubber,,1
7668679-325,Boots,Ankle,,Leather,Lace up,Men,Leather,Round Toe,1
7668679-41877,Shoes,Oxfords,,Leather,Lace up,Men,Leather,Round Toe;Closed Toe,1
7668679-60041,Shoes,Oxfords,,Leather,Lace up,Men,Leather,Round Toe;Closed Toe,1
7668719-3,Boots,Ankle,,Padded;Removable,Lace up,Men,Full-grain leather;Leather;Nylon;Rubber,Round Toe,1
7669294-223876,Boots,Mid-Calf,,Leather,Pull-on,Men,Leather;Rubber,Square Toe,1
7669635-246688,Shoes,Oxfords,,Leather;Removable,,Men,Leather,Square Toe;Closed Toe,1
7669638-246688,Shoes,Oxfords,,Leather;Moisture Wicking;Padded;Removable,Lace up,Men,Leather,Square Toe;Closed Toe,1
7669726-72,Shoes,Loafers,,Leather;Moisture Wicking;Padded,Slip-On,Men,Leather,Moc Toe;Closed Toe,1
7669726-665,Shoes,Loafers,,Leather;Moisture Wicking;Padded,Slip-On,Men,Leather,Moc Toe;Closed Toe,1
7669923-3,Shoes,Sneakers and Athletic Shoes,,,Lace up,Men,Leather;Nubuck,Closed Toe,1
7669923-504,Shoes,Sneakers and Athletic Shoes,,,Lace up,Men,Leather;Nubuck,Closed Toe,1
7669923-2971,Shoes,Sneakers and Athletic Shoes,,,Lace up,Men,Leather;Nubuck,Closed Toe,1
7669926-3,Shoes,Sneakers and Athletic Shoes,,,Slip-On,Men,Suede,Closed Toe,0
7669926-18,Shoes,Sneakers and Athletic Shoes,,,Slip-On,Men,Suede,Closed Toe,0
7670784-368245,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men,Leather;Suede,Round Toe;Closed Toe,1
7670784-368246,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men,Leather;Suede,Round Toe;Closed Toe,1
7671148-72,Shoes,Oxfords,,Moisture Wicking;Padded;Polyurethane,Lace up,Men,Leather,Wingtip,1
7671148-216,Shoes,Oxfords,,Moisture Wicking;Padded;Polyurethane,Lace up,Men,Leather,Wingtip,1
7671148-247261,Shoes,Oxfords,,Moisture Wicking;Padded;Polyurethane,Lace up,Men,Leather,Wingtip,1
7671160-72,Shoes,Oxfords,,EVA;Leather;Padded,Lace up,Men,Leather,Capped Toe,1
7671160-216,Shoes,Oxfords,,EVA;Leather;Padded,Lace up,Men,Leather,Capped Toe,1
7671376-13605,Shoes,Oxfords,,Leather;Moisture Wicking;Padded;Removable,Lace up,Men,Leather,Round Toe,1
7671377-247361,Shoes,Loafers,,Leather;Moisture Wicking;Removable,Elastic Gore;Slip-On,Men,Nubuck,Round Toe,0
7671379-247364,Shoes,Loafers,,Leather,Slip-On,Men,Leather,Closed Toe,1
7671488-72,Shoes,Loafers,,,Slip-On,Men,Leather,,1
7671488-216,Shoes,Loafers,,,Slip-On,Men,Leather,,1
7671488-310,Shoes,Loafers,,,Slip-On,Men,Leather,,1
7671522-104,Shoes,Loafers,,Leather;Padded;Removable,Slip-On,Men,Leather,Moc Toe;Closed Toe,1
7671545-72,Shoes,Oxfords,,Leather;Padded,Lace up,Men,Leather,Bicycle Toe,1
7671545-216,Shoes,Oxfords,,Leather;Padded,Lace up,Men,Leather,Bicycle Toe,1
7671547-90,Shoes,Oxfords,,Leather;Padded,Lace up,Men,Leather;Patent Leather,Round Toe,1
7671548-665,Shoes,Loafers,,,Slip-On,Men,Leather,Bicycle Toe,1
7671556-72,Boots,Ankle,,Leather;Orthotic Friendly;Padded;Removable,Lace up,Men,Leather,Round Toe;Wingtip;Closed Toe,1
7671556-281,Boots,Ankle,,Leather;Orthotic Friendly;Padded;Removable,Lace up,Men,Leather,Round Toe;Wingtip;Closed Toe,1
7671556-247433,Boots,Ankle,,Leather;Orthotic Friendly;Padded;Removable,Lace up,Men,Leather;Suede,Round Toe;Wingtip;Closed Toe,1
7671968-3,Slippers,Slipper Flats,,Orthotic Friendly;Padded;Removable,Hook and Loop,Men,Neoprene,Round Toe;Closed Toe,0
7672030-3,Slippers,Slipper Flats,,Padded;Removable,Hook and Loop,Men,Neoprene,Closed Toe,0
7672143-79932,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men,Leather;Mesh;Nylon;Rubber;Synthetic,,1
7672224-3,Shoes,Oxfords,,Padded,Lace up,Men,Leather,Bicycle Toe,1
7672277-3,Boots,Mid-Calf,,Polyurethane,Bungee;Hook and Loop;Pull-on,Men,Leather;Nylon;Rubber,,1
7672324-9,Shoes,Oxfords,,Moisture Wicking;Padded,Lace up,Men,Full-grain leather,Medallion;Round Toe;Wingtip;Closed Toe,0
7672389-552,Boots,Mid-Calf,,,Buckle;Pull-on,Men,Leather;Rubber,,1
7672390-203126,Boots,Ankle,,,Lace up,Men,Leather;Rubber,,1
7672391-3,Boots,Ankle,,,Lace up,Men,Leather;Rubber,,1
7672391-203126,Boots,Ankle,,,Lace up,Men,Leather;Rubber,,1
7673482-335482,Boots,Mid-Calf,2in - 2 3/4in,EVA;Gel;Leather;Padded,Pull-on,Men,Full-grain leather;Leather;Rubber,Snub Toe;Square Toe;Closed Toe,1
7673524-339563,Boots,Mid-Calf,1in - 1 3/4in,EVA;Gel;Leather;Moisture Wicking;Padded,Pull-on,Men,Leather;Rubber,Square Toe;Closed Toe,1
7674174-3,Boots,Ankle,,,Lace up,Men,Rubber;Synthetic,,0
7674174-18,Boots,Ankle,,,Lace up,Men,Rubber;Synthetic,,0
7675158-3,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Textile,Lace up,Men,Leather;Suede,,1
7675158-8286,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Textile,Lace up,Men,Leather;Suede,,1
7675158-374301,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Textile,Lace up,Men,Leather;Suede,,1
7675555-293,Shoes,Boat Shoes,,Leather;Moisture Wicking;Padded,Lace up,Men,Nubuck,Moc Toe,0
7675555-670,Shoes,Boat Shoes,,Leather;Moisture Wicking;Padded,Lace up,Men,Nubuck,Moc Toe,0
7675555-87620,Shoes,Boat Shoes,,Leather;Moisture Wicking;Padded,Lace up,Men,Nubuck,Moc Toe,0
7675557-231,Shoes,Loafers,,Leather;Moisture Wicking;Padded,Slip-On,Men,Leather,Moc Toe,1
7675566-3,Shoes,Loafers,,Leather;Padded,Slip-On,Men,Leather,Moc Toe,1
7675666-3,Shoes,Oxfords,Flat,Leather;Padded,Lace up,Men,Leather,Round Toe;Closed Toe,1
7675666-215,Shoes,Oxfords,Flat,Leather;Padded,Lace up,Men,Leather,Round Toe;Closed Toe,1
7675675-114255,Boots,Ankle,1in - 1 3/4in,Leather;Moisture Wicking;Padded,Lace up,Men,Leather,Capped Toe,1
7675916-52626,Shoes,Loafers,,Leather;Moisture Wicking;Removable,Elastic Gore;Slip-On,Men,Leather,Apron Toe;Round Toe,1
7675916-228346,Shoes,Loafers,,Leather;Moisture Wicking;Removable,Elastic Gore;Slip-On,Men,Leather,Apron Toe;Round Toe,1
7676247-387538,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Leather,,1
7676444-206128,Shoes,Oxfords,,Leather;Moisture Wicking;Padded;Removable,Lace up,Men,Leather,Round Toe,1
7676445-206129,Shoes,Loafers,,Leather;Moisture Wicking;Padded,Elastic Gore;Slip-On,Men,Leather,Round Toe;Wingtip;Closed Toe,1
7676760-325034,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Men,Mesh;Nylon;Rubber;Synthetic,,0
7677282-6,Boots,Ankle,,Padded;Removable,Elastic Gore;Pull-on,Men,Leather,Round Toe,1
7677463-6,Boots,Ankle,1in - 1 3/4in,Moisture Wicking;Padded,Elastic Gore;Pull-on,Men,Leather,Round Toe;Closed Toe,1
7677464-3,Boots,Ankle,1in - 1 3/4in,Moisture Wicking;Padded,Elastic Gore;Pull-on,Men,Leather,Round Toe;Closed Toe,1
7678353-325,Boots,Mid-Calf,,Removable,Pull-on;Snap;Zipper,Men,Suede,Round Toe,0
7678919-6472,Boots,Ankle,1in - 1 3/4in,,Lace up,Men,Full-grain leather,,0
7678919-249603,Boots,Ankle,1in - 1 3/4in,,Lace up,Men,Full-grain leather,,0
7679114-151,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Leather;Synthetic,,1
7679169-369205,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Men,Leather;Mesh;Rubber,,1
7679172-369208,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded,Lace up,Men,Leather;Mesh;Rubber;Synthetic,,1
7679197-369192,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Synthetic,,0
7679203-369193,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded,Lace up,Men,Leather;Rubber,,1
7679203-369194,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded,Lace up,Men,Leather;Rubber,,1
7679203-385312,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded,Lace up,Men,Leather;Rubber,,1
7679203-385313,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded,Lace up,Men,Leather;Rubber,,1
7679205-369195,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded,Lace up,Men,Leather;Rubber;Synthetic,,1
7679205-369196,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded,Lace up,Men,Leather;Rubber;Synthetic,,1
7679632-18,Slippers,Slipper Flats,,Moisture Wicking;Padded,Slip-On,Men,Rubber;Sheepskin,Round Toe;Closed Toe,1
7679632-278,Slippers,Slipper Flats,,Moisture Wicking;Padded,Slip-On,Men,Rubber;Sheepskin,Round Toe;Closed Toe,1
7679685-11682,Sandals,Flat,Flat,Memory Foam;Padded,Slip-On,Men,Leather;Synthetic,,1
7679685-15184,Sandals,Flat,Flat,Memory Foam,Hook and Loop;Slip-On,Men,Leather,Open Toe,1
7679685-20502,Sandals,Flat,Flat,Memory Foam;Padded,Slip-On,Men,Leather;Synthetic,,1
7679685-250021,Sandals,Flat,Flat,Memory Foam;Padded,Slip-On,Men,Leather;Synthetic,,1
7679685-387566,Sandals,Flat,Flat,Memory Foam,Slip-On,Men,Leather,Open Toe,1
7679685-387567,Sandals,Flat,Flat,Memory Foam,Hook and Loop;Slip-On,Men,Leather,Open Toe,1
7679738-119034,Shoes,Sneakers and Athletic Shoes,,Padded,,Men,Leather;Synthetic,,1
7679738-125554,Shoes,Sneakers and Athletic Shoes,,Padded,,Men,Leather,,1
7679738-183092,Shoes,Sneakers and Athletic Shoes,,Padded,,Men,Leather,,1
7679738-367174,Shoes,Sneakers and Athletic Shoes,,Padded,,Men,Leather;Synthetic,,1
7679830-247365,Shoes,Loafers,,Leather;Padded;Polyurethane,Slip-On,Men,Leather,Round Toe;Closed Toe,1
7679830-250187,Shoes,Loafers,,Leather;Padded;Polyurethane,Slip-On,Men,Leather,Round Toe;Closed Toe,1
7679869-742,Shoes,Loafers,Flat,Leather,Slip-On,Men,Leather,Closed Toe,1
7679917-104,Shoes,Oxfords,,Gel;Leather;Moisture Wicking;Padded,,Men,Leather,Wingtip;Closed Toe,1
7679975-104,Shoes,Oxfords,,Gel;Leather;Padded,Lace up,Men,Leather,Capped Toe;Closed Toe,1
7680006-72,Shoes,Oxfords,,Gel;Padded,Lace up,Men,Leather,Bicycle Toe,1
7680007-72,Shoes,Oxfords,,EVA;Gel;Padded,,Men,Leather,Bicycle Toe,1
